
# Curve 0 of 1, 100 points
# Curve title: "exp(-x**2)"
# x y type
-5  1.38879e-11  i
-4.89899  3.77475e-11  i
-4.79798  1.00525e-10  i
-4.69697  2.62302e-10  i
-4.59596  6.70602e-10  i
-4.49495  1.67983e-09  i
-4.39394  4.12292e-09  i
-4.29293  9.91475e-09  i
-4.19192  2.33613e-08  i
-4.09091  5.39323e-08  i
-3.9899  1.21994e-07  i
-3.88889  2.70375e-07  i
-3.78788  5.87126e-07  i
-3.68687  1.24921e-06  i
-3.58586  2.60421e-06  i
-3.48485  5.3193e-06  i
-3.38384  1.06456e-05  i
-3.28283  2.08749e-05  i
-3.18182  4.01067e-05  i
-3.08081  7.55e-05  i
-2.9798  0.000139256  i
-2.87879  0.000251663  i
-2.77778  0.000445618  i
-2.67677  0.000773113  i
-2.57576  0.0013142  i
-2.47475  0.00218886  i
-2.37374  0.003572  i
-2.27273  0.00571141  i
-2.17172  0.00894773  i
-2.07071  0.0137347  i
-1.9697  0.0206569  i
-1.86869  0.0304402  i
-1.76768  0.0439509  i
-1.66667  0.0621765  i
-1.56566  0.0861832  i
-1.46465  0.117046  i
-1.36364  0.15575  i
-1.26263  0.203066  i
-1.16162  0.259408  i
-1.06061  0.32469  i
-0.959596  0.398191  i
-0.858586  0.478466  i
-0.757576  0.563312  i
-0.656566  0.649808  i
-0.555556  0.734444  i
-0.454545  0.813336  i
-0.353535  0.882508  i
-0.252525  0.938222  i
-0.151515  0.977305  i
-0.0505051  0.997452  i
 0.0505051  0.997452  i
 0.151515  0.977305  i
 0.252525  0.938222  i
 0.353535  0.882508  i
 0.454545  0.813336  i
 0.555556  0.734444  i
 0.656566  0.649808  i
 0.757576  0.563312  i
 0.858586  0.478466  i
 0.959596  0.398191  i
 1.06061  0.32469  i
 1.16162  0.259408  i
 1.26263  0.203066  i
 1.36364  0.15575  i
 1.46465  0.117046  i
 1.56566  0.0861832  i
 1.66667  0.0621765  i
 1.76768  0.0439509  i
 1.86869  0.0304402  i
 1.9697  0.0206569  i
 2.07071  0.0137347  i
 2.17172  0.00894773  i
 2.27273  0.00571141  i
 2.37374  0.003572  i
 2.47475  0.00218886  i
 2.57576  0.0013142  i
 2.67677  0.000773113  i
 2.77778  0.000445618  i
 2.87879  0.000251663  i
 2.9798  0.000139256  i
 3.08081  7.55e-05  i
 3.18182  4.01067e-05  i
 3.28283  2.08749e-05  i
 3.38384  1.06456e-05  i
 3.48485  5.3193e-06  i
 3.58586  2.60421e-06  i
 3.68687  1.24921e-06  i
 3.78788  5.87126e-07  i
 3.88889  2.70375e-07  i
 3.9899  1.21994e-07  i
 4.09091  5.39323e-08  i
 4.19192  2.33613e-08  i
 4.29293  9.91475e-09  i
 4.39394  4.12292e-09  i
 4.49495  1.67983e-09  i
 4.59596  6.70602e-10  i
 4.69697  2.62302e-10  i
 4.79798  1.00525e-10  i
 4.89899  3.77475e-11  i
 5  1.38879e-11  i

